"sex" "age" "field" "language" "education" "paranormal" "toss.K" "toss.RT" "grid.K" "grid.RT" "guess.K" "guess.RT" "roll.K" "roll.RT" "spot.K" "spot.RT" "K" "toss" "guess" "roll" "spot" "grid" "RT"
"male" 36.3890410958904 "science" "french" 6 3 0.517184143856415 16.6 -0.678035429199681 15 0.189786314020222 13.3 1.43048935565975 8 0.125490199429401 7.2 0.316982916753221 "000110011101" "4155322243" "6523516413" "5433626997" "011011110" 60.1
"male" 23.841095890411 "science" "french" 5 0 -0.25121223725599 16.6 -1.21024367531816 10.4 1.95594667902735 19.5 -10.4483048232697 6.2 -7.23868961450294 11.5 -3.43850073426389 "000000101111" "3214535421" "1666666666" "8792111111" "101011111" 64.2
"female" 40.2438356164384 "humanities" "french" 5 1 0.108783204202577 30.3 -0.68845135493541 15.4 0.347381199883717 78 0.0273071149866516 36.4 -0.454201334904656 26.5 -0.131836234153424 "100011000000" "3423235514" "5653434122" "8874143322" "101110110" 186.6
"female" 38.3616438356164 "humanities" "french" 5 0 0.119853202186522 20.4 -3.04096573668208 16 1.58685370175111 21.8 2.35564048582964 18.7 1.87770133283072 17.9 0.579816597183182 "000110101011" "3254123342" "5612345261" "5268719853" "000000000" 94.8
"male" 58.2931506849315 "science" "french" 6 0 -0.457471360339001 10 0.356184830254905 9.5 1.39383536570256 15.1 1.64726373022433 8.7 1.44124860582472 11 0.876212234333503 "010110011100" "3245123451" "1653245112" "1452987568" "001101010" 54.3
"female" 23.9013698630137 "other" "french" 6 0 -0.910361981985367 28.3 1.77344872879726 25.1 1.10376271241565 43.2 1.81960720411991 60.5 1.55796729946677 17.9 1.06888479256284 "101100000000" "4332154334" "5243631152" "5348517926" "011010001" 175
"male" 27.4438356164384 "science" "french" 7 2 1.3471818941997 17.3 0.356184830254905 12.4 1.46775704067103 15.7 1.14096501449771 5.9 1.03847764170957 10.9 1.07011328426658 "001001100011" "3254132534" "5316421542" "5658736418" "010100011" 62.2
"female" 48.3178082191781 "0" "french" 2 0 -1.91605207863555 32.1 -3.04096573668208 12.6 1.93189819954229 20.1 1.51884838172507 17 1.47754788549159 23.4 -0.00574466971173604 "010101101101" "4251343512" "5245361253" "7629842185" "000000000" 105.2
"female" 53.0465753424658 "other" "french" 4 4 0.534461913888016 31.6 0.781777371222475 16.9 0.914708044066904 19.2 0.46018612744822 20.6 1.63626177687807 12 0.865479046700737 "011001111001" "4354214334" "3655162612" "5398417432" "101100000" 100.3
"female" 40.3561643835616 "other" "english" 5 5 -1.43852976637882 12.4 1.8214169933467 6.6 0.559880868246838 15.6 1.72164716083321 8.1 0.536923800427945 12.7 0.640267811295175 "101101000000" "2412541543" "5263515426" "7754165898" "010100101" 55.4
